150万,单价15354元/平米,南向三房出售 户型方正 采光好,番禺人民医院宿舍 , | 3室1厅 | 97.7平米 | 南 | 简装 | 无电梯,高楼层(共9层)1995年建塔楼  -  ,1695人关注 / 共7次带看 / 3个月以前发布,
203万,单价22066元/平米,宏康花园宏康和园 3室2厅 203万,宏康花园宏康和园 , | 3室2厅 | 92平米 | 南 北 | 简装 | 有电梯,中楼层(共15层)塔楼  -  ,80人关注 / 共15次带看 / 1个月以前发布,
98万,单价11166元/平米,金碧御水山庄 南向实用三房 精装修 离尘不离城 税费低,金碧御水山庄 , | 3室2厅 | 87.77平米 | 南 | 精装 | 有电梯,中楼层(共11层)塔楼  -  ,94人关注 / 共6次带看 / 26天以前发布,
630万,单价61332元/平米,锦榕湾 小区安静 交通便利 实用三房,光大花园中海锦榕湾 , | 3室2厅 | 102.72平米 | 南 北 | 简装 | 有电梯,低楼层(共33层)2010年建塔楼  -  ,86人关注 / 共18次带看 / 4个月以前发布,
220万,单价38897元/平米,棠德花园 正规两房 装修保养好  望大花园 视野开阔,棠德花园 , | 2室1厅 | 56.56平米 | 北 | 精装 | 无电梯,低楼层(共9层)1997年建塔楼  -  ,28人关注 / 共18次带看 / 26天以前发布,
310万,单价42292元/平米,荔港南湾 方正两房 望花园景观水池,荔港南湾 , | 2室2厅 | 73.3平米 | 北 | 简装 | 有电梯,低楼层(共32层)2008年建塔楼  -  ,892人关注 / 共19次带看 / 3个月以前发布,
160万,单价22469元/平米,越秀区 明泉花园 东南向两房 厅出阳台 采光足,明泉花园 , | 2室2厅 | 71.21平米 | 东南 | 精装,中楼层(共9层)2000年建塔楼  -  ,242人关注 / 共5次带看 / 3个月以前发布,
218万,单价29067元/平米,丽江花园华林居 2室1厅 218万,丽江花园华林居 , | 2室1厅 | 75平米 | 西北 | 其他 | 无电梯,中楼层(共6层)1997年建塔楼  -  ,4人关注 / 共13次带看 / 3天以前发布,
480万,单价56578元/平米,富力银禧 户型方正,富力银禧花园 , | 2室2厅 | 84.84平米 | 西南 | 精装 | 有电梯,低楼层(共25层)2007年建塔楼  -  ,714人关注 / 共11次带看 / 5个月以前发布,
210万,单价26718元/平米,鸿城花园 精致两房 南向高楼层,鸿城花园 , | 2室2厅 | 78.6平米 | 西南 | 其他 | 有电梯,高楼层(共28层)2000年建塔楼  -  ,91人关注 / 共18次带看 / 30天以前发布,
920万,单价76172元/平米,芳草园 南北对流 户型方正 安静望花园,芳草园 , | 3室2厅 | 120.78平米 | 南 | 其他 | 有电梯,高楼层(共31层)2004年建塔楼  -  ,8人关注 / 共13次带看 / 2个月以前发布,
250万,单价24931元/平米,凤馨苑高层东向三房 带入户花园 保养新 单边位,碧桂园凤凰城凤馨苑 , | 3室2厅 | 100.28平米 | 东 | 精装 | 有电梯,中楼层(共18层)2002年建塔楼  -  ,529人关注 / 共8次带看 / 3个月以前发布,
440万,单价50674元/平米,嘉仕花园东区 电梯实用3房 双阳台望中大,嘉仕花园 , | 3室2厅 | 86.83平米 | 东 | 简装 | 有电梯,高楼层(共16层)2000年建塔楼  -  ,1250人关注 / 共16次带看 / 5个月以前发布,
688万,单价67531元/平米,侨景大厦电梯三房两卫 户型方正,侨景大厦 , | 3室2厅 | 101.88平米 | 西北 | 简装,中楼层(共18层)1996年建塔楼  -  ,8人关注 / 共2次带看 / 3个月以前发布,
2680万,单价72409元/平米,中层 南向 全线江景 二沙岛园景 小蛮腰夜景,碧海湾 , | 6室2厅 | 370.12平米 | 东南 | 精装 | 有电梯,中楼层(共28层)2003年建塔楼  -  ,52人关注 / 共3次带看 / 2个月以前发布,
168万,单价28437元/平米,北站路 御景花园 精致两房 东南向,御景花园 , | 2室1厅 | 59.08平米 | 东南 | 简装 | 无电梯,中楼层(共9层)2009年建塔楼  -  ,175人关注 / 共24次带看 / 5个月以前发布,
719万,单价44383元/平米,骏景花园 南苑大4房 南向装修温馨,骏景花园 , | 4室2厅 | 162平米 | 东南 | 精装 | 有电梯,低楼层(共19层)2003年建塔楼  -  ,243人关注 / 共23次带看 / 1个月以前发布,
400万,单价40589元/平米,荔江美筑 格局方正 望花园 配套完善,荔江美筑 , | 3室1厅 | 98.55平米 | 东北 | 精装 | 有电梯,中楼层(共14层)2007年建塔楼  -  ,32人关注 / 共0次带看 / 一年前发布,
265万,单价38828元/平米,悦涛雅苑 北向电梯二房 装修好 入怡园,悦涛雅苑 , | 2室2厅 | 68.25平米 | 北 | 简装 | 有电梯,中楼层(共13层)2000年建塔楼  -  ,87人关注 / 共3次带看 / 9个月以前发布,
540万,单价68062元/平米,双阳台，安静温馨，产权清晰 送家私,金碧翡翠华庭 , | 2室2厅 | 79.34平米 | 北 | 精装 | 有电梯,低楼层(共31层)2007年建塔楼  -  ,41人关注 / 共5次带看 / 7个月以前发布,
195万,单价16526元/平米,南北对流 楼层好 视野宽阔 采光充足,荷景花园一区 , | 4室2厅 | 118平米 | 东南 | 精装 | 无电梯,中楼层(共7层)1995年建塔楼  -  ,2136人关注 / 共2次带看 / 3个月以前发布,
170万,单价27924元/平米,云东花园 2室1厅 170万,云东花园 , | 2室1厅 | 60.88平米 | 西南 | 其他 | 无电梯,中楼层(共9层)1998年建塔楼  -  ,132人关注 / 共4次带看 / 2个月以前发布,
300万,单价37500元/平米,鸿运花园  南向大2房 户型方正实用,鸿运花园 , | 2室1厅 | 80平米 | 南 | 简装 | 无电梯,低楼层(共10层)1995年建塔楼  -  ,38人关注 / 共22次带看 / 3个月以前发布,
508万,单价56195元/平米,东方之珠花园 2室1厅 508万,东方之珠花园 , | 2室1厅 | 90.4平米 | 西南 | 精装 | 有电梯,高楼层(共28层)2004年建塔楼  -  ,33人关注 / 共20次带看 / 3个月以前发布,
500万,单价59524元/平米,东悦居 3室2厅 500万,东悦居 , | 3室2厅 | 84平米 | 南 北 | 简装 | 无电梯,中楼层(共8层)1999年建塔楼  -  ,26人关注 / 共5次带看 / 3个月以前发布,
218万,单价25842元/平米,东华花园 满五年南向小三房 诚意出售,东华花园 , | 3室2厅 | 84.36平米 | 南 | 精装 | 无电梯,高楼层(共6层)2004年建板楼  -  ,64人关注 / 共25次带看 / 27天以前发布,
200万,单价21634元/平米,凤馨苑 单边位精装三房  户型佳,碧桂园凤凰城凤馨苑 , | 3室2厅 | 92.45平米 | 北 | 精装 | 无电梯,中楼层(共6层)2002年建塔楼  -  ,844人关注 / 共18次带看 / 一年前发布,
142万,单价8061元/平米,金碧御水山庄   南向  4房，一梯二户，5年唯一。,金碧御水山庄 , | 4室2厅 | 176.17平米 | 南 | 精装 | 有电梯,低楼层(共12层)板楼  -  ,34人关注 / 共7次带看 / 26天以前发布,
433万,单价44184元/平米,岭南新世界 4室2厅 433万,岭南新世界 , | 4室2厅 | 98平米 | 西南 | 其他 | 有电梯,低楼层(共18层)2008年建塔楼  -  ,2434人关注 / 共20次带看 / 3个月以前发布,
145万,单价25350元/平米,晓翠苑 2室1厅 145万,晓翠苑 , | 2室1厅 | 57.2平米 | 西南 | 简装 | 无电梯,中楼层(共8层)1999年建塔楼  -  ,94人关注 / 共23次带看 / 3个月以前发布,
150万,单价15354元/平米,南向三房出售 户型方正 采光好,番禺人民医院宿舍 , | 3室1厅 | 97.7平米 | 南 | 简装 | 无电梯,高楼层(共9层)1995年建塔楼  -  ,1695人关注 / 共7次带看 / 3个月以前发布,
203万,单价22066元/平米,宏康花园宏康和园 3室2厅 203万,宏康花园宏康和园 , | 3室2厅 | 92平米 | 南 北 | 简装 | 有电梯,中楼层(共15层)塔楼  -  ,80人关注 / 共15次带看 / 1个月以前发布,
98万,单价11166元/平米,金碧御水山庄 南向实用三房 精装修 离尘不离城 税费低,金碧御水山庄 , | 3室2厅 | 87.77平米 | 南 | 精装 | 有电梯,中楼层(共11层)塔楼  -  ,94人关注 / 共6次带看 / 26天以前发布,
630万,单价61332元/平米,锦榕湾 小区安静 交通便利 实用三房,光大花园中海锦榕湾 , | 3室2厅 | 102.72平米 | 南 北 | 简装 | 有电梯,低楼层(共33层)2010年建塔楼  -  ,86人关注 / 共18次带看 / 4个月以前发布,
220万,单价38897元/平米,棠德花园 正规两房 装修保养好  望大花园 视野开阔,棠德花园 , | 2室1厅 | 56.56平米 | 北 | 精装 | 无电梯,低楼层(共9层)1997年建塔楼  -  ,28人关注 / 共18次带看 / 26天以前发布,
310万,单价42292元/平米,荔港南湾 方正两房 望花园景观水池,荔港南湾 , | 2室2厅 | 73.3平米 | 北 | 简装 | 有电梯,低楼层(共32层)2008年建塔楼  -  ,892人关注 / 共19次带看 / 3个月以前发布,
160万,单价22469元/平米,越秀区 明泉花园 东南向两房 厅出阳台 采光足,明泉花园 , | 2室2厅 | 71.21平米 | 东南 | 精装,中楼层(共9层)2000年建塔楼  -  ,242人关注 / 共5次带看 / 3个月以前发布,
218万,单价29067元/平米,丽江花园华林居 2室1厅 218万,丽江花园华林居 , | 2室1厅 | 75平米 | 西北 | 其他 | 无电梯,中楼层(共6层)1997年建塔楼  -  ,4人关注 / 共13次带看 / 3天以前发布,
480万,单价56578元/平米,富力银禧 户型方正,富力银禧花园 , | 2室2厅 | 84.84平米 | 西南 | 精装 | 有电梯,低楼层(共25层)2007年建塔楼  -  ,714人关注 / 共11次带看 / 5个月以前发布,
210万,单价26718元/平米,鸿城花园 精致两房 南向高楼层,鸿城花园 , | 2室2厅 | 78.6平米 | 西南 | 其他 | 有电梯,高楼层(共28层)2000年建塔楼  -  ,91人关注 / 共18次带看 / 30天以前发布,
920万,单价76172元/平米,芳草园 南北对流 户型方正 安静望花园,芳草园 , | 3室2厅 | 120.78平米 | 南 | 其他 | 有电梯,高楼层(共31层)2004年建塔楼  -  ,8人关注 / 共13次带看 / 2个月以前发布,
250万,单价24931元/平米,凤馨苑高层东向三房 带入户花园 保养新 单边位,碧桂园凤凰城凤馨苑 , | 3室2厅 | 100.28平米 | 东 | 精装 | 有电梯,中楼层(共18层)2002年建塔楼  -  ,529人关注 / 共8次带看 / 3个月以前发布,
440万,单价50674元/平米,嘉仕花园东区 电梯实用3房 双阳台望中大,嘉仕花园 , | 3室2厅 | 86.83平米 | 东 | 简装 | 有电梯,高楼层(共16层)2000年建塔楼  -  ,1250人关注 / 共16次带看 / 5个月以前发布,
688万,单价67531元/平米,侨景大厦电梯三房两卫 户型方正,侨景大厦 , | 3室2厅 | 101.88平米 | 西北 | 简装,中楼层(共18层)1996年建塔楼  -  ,8人关注 / 共2次带看 / 3个月以前发布,
2680万,单价72409元/平米,中层 南向 全线江景 二沙岛园景 小蛮腰夜景,碧海湾 , | 6室2厅 | 370.12平米 | 东南 | 精装 | 有电梯,中楼层(共28层)2003年建塔楼  -  ,52人关注 / 共3次带看 / 2个月以前发布,
168万,单价28437元/平米,北站路 御景花园 精致两房 东南向,御景花园 , | 2室1厅 | 59.08平米 | 东南 | 简装 | 无电梯,中楼层(共9层)2009年建塔楼  -  ,175人关注 / 共24次带看 / 5个月以前发布,
719万,单价44383元/平米,骏景花园 南苑大4房 南向装修温馨,骏景花园 , | 4室2厅 | 162平米 | 东南 | 精装 | 有电梯,低楼层(共19层)2003年建塔楼  -  ,243人关注 / 共23次带看 / 1个月以前发布,
400万,单价40589元/平米,荔江美筑 格局方正 望花园 配套完善,荔江美筑 , | 3室1厅 | 98.55平米 | 东北 | 精装 | 有电梯,中楼层(共14层)2007年建塔楼  -  ,32人关注 / 共0次带看 / 一年前发布,
265万,单价38828元/平米,悦涛雅苑 北向电梯二房 装修好 入怡园,悦涛雅苑 , | 2室2厅 | 68.25平米 | 北 | 简装 | 有电梯,中楼层(共13层)2000年建塔楼  -  ,87人关注 / 共3次带看 / 9个月以前发布,
540万,单价68062元/平米,双阳台，安静温馨，产权清晰 送家私,金碧翡翠华庭 , | 2室2厅 | 79.34平米 | 北 | 精装 | 有电梯,低楼层(共31层)2007年建塔楼  -  ,41人关注 / 共5次带看 / 7个月以前发布,
195万,单价16526元/平米,南北对流 楼层好 视野宽阔 采光充足,荷景花园一区 , | 4室2厅 | 118平米 | 东南 | 精装 | 无电梯,中楼层(共7层)1995年建塔楼  -  ,2136人关注 / 共2次带看 / 3个月以前发布,
170万,单价27924元/平米,云东花园 2室1厅 170万,云东花园 , | 2室1厅 | 60.88平米 | 西南 | 其他 | 无电梯,中楼层(共9层)1998年建塔楼  -  ,132人关注 / 共4次带看 / 2个月以前发布,
300万,单价37500元/平米,鸿运花园  南向大2房 户型方正实用,鸿运花园 , | 2室1厅 | 80平米 | 南 | 简装 | 无电梯,低楼层(共10层)1995年建塔楼  -  ,38人关注 / 共22次带看 / 3个月以前发布,
508万,单价56195元/平米,东方之珠花园 2室1厅 508万,东方之珠花园 , | 2室1厅 | 90.4平米 | 西南 | 精装 | 有电梯,高楼层(共28层)2004年建塔楼  -  ,33人关注 / 共20次带看 / 3个月以前发布,
500万,单价59524元/平米,东悦居 3室2厅 500万,东悦居 , | 3室2厅 | 84平米 | 南 北 | 简装 | 无电梯,中楼层(共8层)1999年建塔楼  -  ,26人关注 / 共5次带看 / 3个月以前发布,
218万,单价25842元/平米,东华花园 满五年南向小三房 诚意出售,东华花园 , | 3室2厅 | 84.36平米 | 南 | 精装 | 无电梯,高楼层(共6层)2004年建板楼  -  ,64人关注 / 共25次带看 / 27天以前发布,
200万,单价21634元/平米,凤馨苑 单边位精装三房  户型佳,碧桂园凤凰城凤馨苑 , | 3室2厅 | 92.45平米 | 北 | 精装 | 无电梯,中楼层(共6层)2002年建塔楼  -  ,844人关注 / 共18次带看 / 一年前发布,
142万,单价8061元/平米,金碧御水山庄   南向  4房，一梯二户，5年唯一。,金碧御水山庄 , | 4室2厅 | 176.17平米 | 南 | 精装 | 有电梯,低楼层(共12层)板楼  -  ,34人关注 / 共7次带看 / 26天以前发布,
433万,单价44184元/平米,岭南新世界 4室2厅 433万,岭南新世界 , | 4室2厅 | 98平米 | 西南 | 其他 | 有电梯,低楼层(共18层)2008年建塔楼  -  ,2434人关注 / 共20次带看 / 3个月以前发布,
145万,单价25350元/平米,晓翠苑 2室1厅 145万,晓翠苑 , | 2室1厅 | 57.2平米 | 西南 | 简装 | 无电梯,中楼层(共8层)1999年建塔楼  -  ,94人关注 / 共23次带看 / 3个月以前发布,
150万,单价15354元/平米,南向三房出售 户型方正 采光好,番禺人民医院宿舍 , | 3室1厅 | 97.7平米 | 南 | 简装 | 无电梯,高楼层(共9层)1995年建塔楼  -  ,1695人关注 / 共7次带看 / 3个月以前发布,
203万,单价22066元/平米,宏康花园宏康和园 3室2厅 203万,宏康花园宏康和园 , | 3室2厅 | 92平米 | 南 北 | 简装 | 有电梯,中楼层(共15层)塔楼  -  ,80人关注 / 共15次带看 / 1个月以前发布,
98万,单价11166元/平米,金碧御水山庄 南向实用三房 精装修 离尘不离城 税费低,金碧御水山庄 , | 3室2厅 | 87.77平米 | 南 | 精装 | 有电梯,中楼层(共11层)塔楼  -  ,94人关注 / 共6次带看 / 26天以前发布,
630万,单价61332元/平米,锦榕湾 小区安静 交通便利 实用三房,光大花园中海锦榕湾 , | 3室2厅 | 102.72平米 | 南 北 | 简装 | 有电梯,低楼层(共33层)2010年建塔楼  -  ,86人关注 / 共18次带看 / 4个月以前发布,
220万,单价38897元/平米,棠德花园 正规两房 装修保养好  望大花园 视野开阔,棠德花园 , | 2室1厅 | 56.56平米 | 北 | 精装 | 无电梯,低楼层(共9层)1997年建塔楼  -  ,28人关注 / 共18次带看 / 26天以前发布,
310万,单价42292元/平米,荔港南湾 方正两房 望花园景观水池,荔港南湾 , | 2室2厅 | 73.3平米 | 北 | 简装 | 有电梯,低楼层(共32层)2008年建塔楼  -  ,892人关注 / 共19次带看 / 3个月以前发布,
160万,单价22469元/平米,越秀区 明泉花园 东南向两房 厅出阳台 采光足,明泉花园 , | 2室2厅 | 71.21平米 | 东南 | 精装,中楼层(共9层)2000年建塔楼  -  ,242人关注 / 共5次带看 / 3个月以前发布,
218万,单价29067元/平米,丽江花园华林居 2室1厅 218万,丽江花园华林居 , | 2室1厅 | 75平米 | 西北 | 其他 | 无电梯,中楼层(共6层)1997年建塔楼  -  ,4人关注 / 共13次带看 / 3天以前发布,
480万,单价56578元/平米,富力银禧 户型方正,富力银禧花园 , | 2室2厅 | 84.84平米 | 西南 | 精装 | 有电梯,低楼层(共25层)2007年建塔楼  -  ,714人关注 / 共11次带看 / 5个月以前发布,
210万,单价26718元/平米,鸿城花园 精致两房 南向高楼层,鸿城花园 , | 2室2厅 | 78.6平米 | 西南 | 其他 | 有电梯,高楼层(共28层)2000年建塔楼  -  ,91人关注 / 共18次带看 / 30天以前发布,
920万,单价76172元/平米,芳草园 南北对流 户型方正 安静望花园,芳草园 , | 3室2厅 | 120.78平米 | 南 | 其他 | 有电梯,高楼层(共31层)2004年建塔楼  -  ,8人关注 / 共13次带看 / 2个月以前发布,
250万,单价24931元/平米,凤馨苑高层东向三房 带入户花园 保养新 单边位,碧桂园凤凰城凤馨苑 , | 3室2厅 | 100.28平米 | 东 | 精装 | 有电梯,中楼层(共18层)2002年建塔楼  -  ,529人关注 / 共8次带看 / 3个月以前发布,
440万,单价50674元/平米,嘉仕花园东区 电梯实用3房 双阳台望中大,嘉仕花园 , | 3室2厅 | 86.83平米 | 东 | 简装 | 有电梯,高楼层(共16层)2000年建塔楼  -  ,1250人关注 / 共16次带看 / 5个月以前发布,
688万,单价67531元/平米,侨景大厦电梯三房两卫 户型方正,侨景大厦 , | 3室2厅 | 101.88平米 | 西北 | 简装,中楼层(共18层)1996年建塔楼  -  ,8人关注 / 共2次带看 / 3个月以前发布,
2680万,单价72409元/平米,中层 南向 全线江景 二沙岛园景 小蛮腰夜景,碧海湾 , | 6室2厅 | 370.12平米 | 东南 | 精装 | 有电梯,中楼层(共28层)2003年建塔楼  -  ,52人关注 / 共3次带看 / 2个月以前发布,
168万,单价28437元/平米,北站路 御景花园 精致两房 东南向,御景花园 , | 2室1厅 | 59.08平米 | 东南 | 简装 | 无电梯,中楼层(共9层)2009年建塔楼  -  ,175人关注 / 共24次带看 / 5个月以前发布,
719万,单价44383元/平米,骏景花园 南苑大4房 南向装修温馨,骏景花园 , | 4室2厅 | 162平米 | 东南 | 精装 | 有电梯,低楼层(共19层)2003年建塔楼  -  ,243人关注 / 共23次带看 / 1个月以前发布,
400万,单价40589元/平米,荔江美筑 格局方正 望花园 配套完善,荔江美筑 , | 3室1厅 | 98.55平米 | 东北 | 精装 | 有电梯,中楼层(共14层)2007年建塔楼  -  ,32人关注 / 共0次带看 / 一年前发布,
265万,单价38828元/平米,悦涛雅苑 北向电梯二房 装修好 入怡园,悦涛雅苑 , | 2室2厅 | 68.25平米 | 北 | 简装 | 有电梯,中楼层(共13层)2000年建塔楼  -  ,87人关注 / 共3次带看 / 9个月以前发布,
540万,单价68062元/平米,双阳台，安静温馨，产权清晰 送家私,金碧翡翠华庭 , | 2室2厅 | 79.34平米 | 北 | 精装 | 有电梯,低楼层(共31层)2007年建塔楼  -  ,41人关注 / 共5次带看 / 7个月以前发布,
195万,单价16526元/平米,南北对流 楼层好 视野宽阔 采光充足,荷景花园一区 , | 4室2厅 | 118平米 | 东南 | 精装 | 无电梯,中楼层(共7层)1995年建塔楼  -  ,2136人关注 / 共2次带看 / 3个月以前发布,
170万,单价27924元/平米,云东花园 2室1厅 170万,云东花园 , | 2室1厅 | 60.88平米 | 西南 | 其他 | 无电梯,中楼层(共9层)1998年建塔楼  -  ,132人关注 / 共4次带看 / 2个月以前发布,
300万,单价37500元/平米,鸿运花园  南向大2房 户型方正实用,鸿运花园 , | 2室1厅 | 80平米 | 南 | 简装 | 无电梯,低楼层(共10层)1995年建塔楼  -  ,38人关注 / 共22次带看 / 3个月以前发布,
508万,单价56195元/平米,东方之珠花园 2室1厅 508万,东方之珠花园 , | 2室1厅 | 90.4平米 | 西南 | 精装 | 有电梯,高楼层(共28层)2004年建塔楼  -  ,33人关注 / 共20次带看 / 3个月以前发布,
500万,单价59524元/平米,东悦居 3室2厅 500万,东悦居 , | 3室2厅 | 84平米 | 南 北 | 简装 | 无电梯,中楼层(共8层)1999年建塔楼  -  ,26人关注 / 共5次带看 / 3个月以前发布,
218万,单价25842元/平米,东华花园 满五年南向小三房 诚意出售,东华花园 , | 3室2厅 | 84.36平米 | 南 | 精装 | 无电梯,高楼层(共6层)2004年建板楼  -  ,64人关注 / 共25次带看 / 27天以前发布,
200万,单价21634元/平米,凤馨苑 单边位精装三房  户型佳,碧桂园凤凰城凤馨苑 , | 3室2厅 | 92.45平米 | 北 | 精装 | 无电梯,中楼层(共6层)2002年建塔楼  -  ,844人关注 / 共18次带看 / 一年前发布,
142万,单价8061元/平米,金碧御水山庄   南向  4房，一梯二户，5年唯一。,金碧御水山庄 , | 4室2厅 | 176.17平米 | 南 | 精装 | 有电梯,低楼层(共12层)板楼  -  ,34人关注 / 共7次带看 / 26天以前发布,
433万,单价44184元/平米,岭南新世界 4室2厅 433万,岭南新世界 , | 4室2厅 | 98平米 | 西南 | 其他 | 有电梯,低楼层(共18层)2008年建塔楼  -  ,2434人关注 / 共20次带看 / 3个月以前发布,
145万,单价25350元/平米,晓翠苑 2室1厅 145万,晓翠苑 , | 2室1厅 | 57.2平米 | 西南 | 简装 | 无电梯,中楼层(共8层)1999年建塔楼  -  ,94人关注 / 共23次带看 / 3个月以前发布,
150万,单价15354元/平米,南向三房出售 户型方正 采光好,番禺人民医院宿舍 , | 3室1厅 | 97.7平米 | 南 | 简装 | 无电梯,高楼层(共9层)1995年建塔楼  -  ,1695人关注 / 共7次带看 / 3个月以前发布,
203万,单价22066元/平米,宏康花园宏康和园 3室2厅 203万,宏康花园宏康和园 , | 3室2厅 | 92平米 | 南 北 | 简装 | 有电梯,中楼层(共15层)塔楼  -  ,80人关注 / 共15次带看 / 1个月以前发布,
98万,单价11166元/平米,金碧御水山庄 南向实用三房 精装修 离尘不离城 税费低,金碧御水山庄 , | 3室2厅 | 87.77平米 | 南 | 精装 | 有电梯,中楼层(共11层)塔楼  -  ,94人关注 / 共6次带看 / 26天以前发布,
630万,单价61332元/平米,锦榕湾 小区安静 交通便利 实用三房,光大花园中海锦榕湾 , | 3室2厅 | 102.72平米 | 南 北 | 简装 | 有电梯,低楼层(共33层)2010年建塔楼  -  ,86人关注 / 共18次带看 / 4个月以前发布,
220万,单价38897元/平米,棠德花园 正规两房 装修保养好  望大花园 视野开阔,棠德花园 , | 2室1厅 | 56.56平米 | 北 | 精装 | 无电梯,低楼层(共9层)1997年建塔楼  -  ,28人关注 / 共18次带看 / 26天以前发布,
310万,单价42292元/平米,荔港南湾 方正两房 望花园景观水池,荔港南湾 , | 2室2厅 | 73.3平米 | 北 | 简装 | 有电梯,低楼层(共32层)2008年建塔楼  -  ,892人关注 / 共19次带看 / 3个月以前发布,
160万,单价22469元/平米,越秀区 明泉花园 东南向两房 厅出阳台 采光足,明泉花园 , | 2室2厅 | 71.21平米 | 东南 | 精装,中楼层(共9层)2000年建塔楼  -  ,242人关注 / 共5次带看 / 3个月以前发布,
218万,单价29067元/平米,丽江花园华林居 2室1厅 218万,丽江花园华林居 , | 2室1厅 | 75平米 | 西北 | 其他 | 无电梯,中楼层(共6层)1997年建塔楼  -  ,4人关注 / 共13次带看 / 3天以前发布,
480万,单价56578元/平米,富力银禧 户型方正,富力银禧花园 , | 2室2厅 | 84.84平米 | 西南 | 精装 | 有电梯,低楼层(共25层)2007年建塔楼  -  ,714人关注 / 共11次带看 / 5个月以前发布,
210万,单价26718元/平米,鸿城花园 精致两房 南向高楼层,鸿城花园 , | 2室2厅 | 78.6平米 | 西南 | 其他 | 有电梯,高楼层(共28层)2000年建塔楼  -  ,91人关注 / 共18次带看 / 30天以前发布,
920万,单价76172元/平米,芳草园 南北对流 户型方正 安静望花园,芳草园 , | 3室2厅 | 120.78平米 | 南 | 其他 | 有电梯,高楼层(共31层)2004年建塔楼  -  ,8人关注 / 共13次带看 / 2个月以前发布,
250万,单价24931元/平米,凤馨苑高层东向三房 带入户花园 保养新 单边位,碧桂园凤凰城凤馨苑 , | 3室2厅 | 100.28平米 | 东 | 精装 | 有电梯,中楼层(共18层)2002年建塔楼  -  ,529人关注 / 共8次带看 / 3个月以前发布,
440万,单价50674元/平米,嘉仕花园东区 电梯实用3房 双阳台望中大,嘉仕花园 , | 3室2厅 | 86.83平米 | 东 | 简装 | 有电梯,高楼层(共16层)2000年建塔楼  -  ,1250人关注 / 共16次带看 / 5个月以前发布,
688万,单价67531元/平米,侨景大厦电梯三房两卫 户型方正,侨景大厦 , | 3室2厅 | 101.88平米 | 西北 | 简装,中楼层(共18层)1996年建塔楼  -  ,8人关注 / 共2次带看 / 3个月以前发布,
2680万,单价72409元/平米,中层 南向 全线江景 二沙岛园景 小蛮腰夜景,碧海湾 , | 6室2厅 | 370.12平米 | 东南 | 精装 | 有电梯,中楼层(共28层)2003年建塔楼  -  ,52人关注 / 共3次带看 / 2个月以前发布,
168万,单价28437元/平米,北站路 御景花园 精致两房 东南向,御景花园 , | 2室1厅 | 59.08平米 | 东南 | 简装 | 无电梯,中楼层(共9层)2009年建塔楼  -  ,175人关注 / 共24次带看 / 5个月以前发布,
719万,单价44383元/平米,骏景花园 南苑大4房 南向装修温馨,骏景花园 , | 4室2厅 | 162平米 | 东南 | 精装 | 有电梯,低楼层(共19层)2003年建塔楼  -  ,243人关注 / 共23次带看 / 1个月以前发布,
400万,单价40589元/平米,荔江美筑 格局方正 望花园 配套完善,荔江美筑 , | 3室1厅 | 98.55平米 | 东北 | 精装 | 有电梯,中楼层(共14层)2007年建塔楼  -  ,32人关注 / 共0次带看 / 一年前发布,
265万,单价38828元/平米,悦涛雅苑 北向电梯二房 装修好 入怡园,悦涛雅苑 , | 2室2厅 | 68.25平米 | 北 | 简装 | 有电梯,中楼层(共13层)2000年建塔楼  -  ,87人关注 / 共3次带看 / 9个月以前发布,
540万,单价68062元/平米,双阳台，安静温馨，产权清晰 送家私,金碧翡翠华庭 , | 2室2厅 | 79.34平米 | 北 | 精装 | 有电梯,低楼层(共31层)2007年建塔楼  -  ,41人关注 / 共5次带看 / 7个月以前发布,
195万,单价16526元/平米,南北对流 楼层好 视野宽阔 采光充足,荷景花园一区 , | 4室2厅 | 118平米 | 东南 | 精装 | 无电梯,中楼层(共7层)1995年建塔楼  -  ,2136人关注 / 共2次带看 / 3个月以前发布,
170万,单价27924元/平米,云东花园 2室1厅 170万,云东花园 , | 2室1厅 | 60.88平米 | 西南 | 其他 | 无电梯,中楼层(共9层)1998年建塔楼  -  ,132人关注 / 共4次带看 / 2个月以前发布,
300万,单价37500元/平米,鸿运花园  南向大2房 户型方正实用,鸿运花园 , | 2室1厅 | 80平米 | 南 | 简装 | 无电梯,低楼层(共10层)1995年建塔楼  -  ,38人关注 / 共22次带看 / 3个月以前发布,
508万,单价56195元/平米,东方之珠花园 2室1厅 508万,东方之珠花园 , | 2室1厅 | 90.4平米 | 西南 | 精装 | 有电梯,高楼层(共28层)2004年建塔楼  -  ,33人关注 / 共20次带看 / 3个月以前发布,
500万,单价59524元/平米,东悦居 3室2厅 500万,东悦居 , | 3室2厅 | 84平米 | 南 北 | 简装 | 无电梯,中楼层(共8层)1999年建塔楼  -  ,26人关注 / 共5次带看 / 3个月以前发布,
218万,单价25842元/平米,东华花园 满五年南向小三房 诚意出售,东华花园 , | 3室2厅 | 84.36平米 | 南 | 精装 | 无电梯,高楼层(共6层)2004年建板楼  -  ,64人关注 / 共25次带看 / 27天以前发布,
200万,单价21634元/平米,凤馨苑 单边位精装三房  户型佳,碧桂园凤凰城凤馨苑 , | 3室2厅 | 92.45平米 | 北 | 精装 | 无电梯,中楼层(共6层)2002年建塔楼  -  ,844人关注 / 共18次带看 / 一年前发布,
